,Country,centrality,iso_a3
0,Maldives,0.8439335887611752,MDV
1,Netherlands Antilles,0.7692307692307693,NLD
2,Dominica,0.7083333333333333,DMA
3,Yemen,0.6883195657419772,YEM
4,Samoa,0.6761904761904762,WSM
5,Saint Vincent and the Grenadines,0.6666666666666666,VCT
6,Iceland,0.6593372584455485,ISL
7,Macedonia,0.6448441700937544,MKD
8,Vanuatu,0.6071428571428571,VUT
9,Grenada,0.5805228525353948,GRD
10,Bosnia and Herzegovina,0.49402647685305295,BIH
11,Morocco,0.46013346037199443,MAR
12,Cuba,0.44610711001336356,CUB
13,Syria,0.43364490913837156,SYR
14,Tunisia,0.42558178804445224,TUN
15,Anguilla,0.4043499890358413,AIA
16,Aruba,0.39700021223760046,ABW
17,Swaziland,0.3938304384065452,None
18,Nigeria,0.37466831852336435,NGA
19,Iraq,0.3717907753330099,IRQ
20,Indonesia,0.3518886304812598,IDN
21,Algeria,0.34941103071619783,DZA
22,Russia,0.327751791800419,RUS
23,Laos,0.3227763046517728,LAO
24,Kazakhstan,0.3223078909782471,KAZ
25,Portugal,0.32024870090350166,PRT
26,Slovenia,0.31972481214614906,SVN
27,Belarus,0.3167735547226341,BLR
28,Peru,0.3155521682647025,PER
29,Ethiopia,0.3114293592443029,ETH
30,Philippines,0.30685594565478963,PHL
31,Ghana,0.29888090474428936,GHA
32,Sierra Leone,0.2962376274342346,SLE
33,Malaysia,0.2946446181450876,MYS
34,Togo,0.28528184805454665,TGO
35,Pakistan,0.2841045293202981,PAK
36,Bulgaria,0.28059990929107015,BGR
37,Croatia,0.27973083561357326,HRV
38,Argentina,0.2796429597764853,ARG
39,Mongolia,0.2793955163119134,MNG
40,Puerto Rico,0.27777951738823786,PRI
41,Tanzania,0.27697242522989246,TZA
42,Guadeloupe,0.2739086339243622,GLP
43,Uganda,0.27388961675357365,UGA
44,Serbia,0.27332271778000305,SRB
45,Brazil,0.2732574828039982,BRA
46,Jersey,0.26795407540900623,JEY
47,Chile,0.2679492907720637,CHL
48,Ecuador,0.26409079480597947,ECU
49,Bolivia,0.2633587496574646,BOL
50,Latvia,0.2580916496605671,LVA
51,Trinidad and Tobago,0.25717294541249375,TTO
52,Vietnam,0.2556622058584484,VNM
53,Namibia,0.25448351127809243,NAM
54,Kuwait,0.2521166272969056,KWT
55,Egypt,0.25095321110036495,EGY
56,Bahrain,0.25018887160977676,BHR
57,Bangladesh,0.24725986973315323,BGD
58,Japan,0.24538007666465228,JPN
59,Sudan,0.24099024059418675,SDN
60,Botswana,0.2404784800141077,BWA
61,India,0.23959522705662153,IND
62,Venezuela,0.23661300768538832,VEN
63,Benin,0.23450669938886703,BEN
64,Sri Lanka,0.23250254304571139,LKA
65,Malta,0.2324978443439251,MLT
66,Cameroon,0.23203790358805257,CMR
67,Mexico,0.23095604617912577,MEX
68,Spain,0.22716367123962422,ESP
69,Turkey,0.22687767699830838,TUR
70,Armenia,0.22683228388215268,ARM
71,Guatemala,0.22567315622881987,GTM
72,Panama,0.2245355801478969,PAN
73,Oman,0.22398339373018883,OMN
74,Jordan,0.22342690932460516,JOR
75,Czech Republic,0.22308232514713633,None
76,Luxembourg,0.22253551112374095,LUX
77,Saudi Arabia,0.2206784812401772,SAU
78,Ukraine,0.22038409618869012,UKR
79,Ireland,0.22012300005937085,IRL
80,Democratic Republic of the Congo,0.21965704656964238,COD
81,Nepal,0.21963154708160887,NPL
82,Israel,0.21919462286051755,ISR
83,Gambia,0.21856676987898202,GMB
84,Hong Kong,0.21797556444853294,HKG
85,United Arab Emirates,0.2166051407777818,ARE
86,Colombia,0.21497115318453525,COL
87,Romania,0.21415633949796967,ROU
88,Finland,0.2141410556538576,FIN
89,Haiti,0.21250612325002108,HTI
90,Sweden,0.21156329856140485,SWE
91,Slovakia,0.2098770874798166,SVK
92,Uruguay,0.20748245678579355,URY
93,Canada,0.20639398842949055,CAN
94,Poland,0.20626623186968096,POL
95,China,0.2060996609829676,CHN
96,South Africa,0.20527407611904042,ZAF
97,Taiwan,0.20411576420226932,TWN
98,New Zealand,0.20261752358436014,NZL
99,Greece,0.20223462975676823,GRC
100,Liberia,0.20138373970724183,LBR
101,Lebanon,0.20046309328780504,LBN
102,Belgium,0.2002819693637318,BEL
103,United States,0.19876896245194645,USA
104,Norway,0.19690897077653532,NOR
105,United Kingdom,0.19496457196355418,GBR
106,Mali,0.19448577798733188,MLI
107,Australia,0.1932056007812359,AUS
108,Denmark,0.19174810225107206,DNK
109,Rwanda,0.19149255762568795,RWA
110,South Korea,0.19121161231969097,KOR
111,Switzerland,0.1911764773786275,CHE
112,Thailand,0.19097185087431828,THA
113,Hungary,0.1899217407358591,HUN
114,Kenya,0.18945620527025442,KEN
115,Lithuania,0.18917095417343416,LTU
116,Netherlands,0.1885726119123742,NLD
117,Cyprus,0.18791026389297927,CYP
118,United States of America,0.18697129700444512,USA
119,Albania,0.18573442787444228,ALB
120,Congo,0.1846944748057889,COG
121,Cambodia,0.1842401763380897,KHM
122,Senegal,0.18195521913868626,SEN
123,Singapore,0.1819401901943341,SGP
124,Germany,0.1813753179599501,DEU
125,Montenegro,0.18083358390286386,MNE
126,Paraguay,0.17958733699125173,PRY
127,Myanmar,0.17793098275563668,MMR
128,Italy,0.17566965520000083,ITA
129,Afghanistan,0.17457202710907282,AFG
130,Estonia,0.17371119163481322,EST
131,Iran,0.1732231079466235,IRN
132,France,0.17212592260554768,FRA
133,Austria,0.16956251075837273,AUT
134,Honduras,0.16903428090409608,HND
135,Kyrgyzstan,0.166190368142857,KGZ
136,ESwatini,0.1653863266739139,SWZ
137,Liechtenstein,0.1638029270605546,LIE
138,Guinea-Bissau,0.16357354045111286,GNB
139,Jamaica,0.16291959083081697,JAM
140,San Marino,0.16185026630561597,SMR
141,Qatar,0.16169477803772073,QAT
142,Andorra,0.1606525758941544,AND
143,Zambia,0.1594426433522838,ZMB
144,Mozambique,0.15859882225037827,MOZ
145,Guyana,0.1585902761726305,GUY
146,Central African Republic,0.1581526541160111,CAF
147,Gabon,0.15498976741463663,GAB
148,Mauritania,0.15496939387136063,MRT
149,Libya,0.1540133431349264,LBY
150,Mauritius,0.1528175685452681,MUS
151,Lesotho,0.15261140273200074,LSO
152,Suriname,0.1512222319017336,SUR
153,Guinea,0.14899299252268883,GIN
154,Saint Lucia,0.1486967575698392,LCA
155,Bahamas,0.1480104604778241,BHS
156,Costa Rica,0.14736371854897934,CRI
157,Malawi,0.1471248307405133,MWI
158,Czechia,0.1466999525051424,CZE
159,Fiji,0.1460664272798291,FJI
160,Barbados,0.14574435382482112,BRB
161,Georgia,0.14455853100776989,GEO
162,Moldova,0.1442156630248793,MDA
163,Monaco,0.1424270720091269,MCO
164,Niger,0.14161476106839438,NER
165,Macau,0.13860091738151323,None
166,Eswatini,0.13806937670411343,SWZ
167,El Salvador,0.13750853359027307,SLV
168,Solomon Islands,0.1354982284879741,SLB
169,Dominican Republic,0.13545012045399396,DOM
170,French Guiana,0.13537639715423144,GUF
171,Burundi,0.1347189497815668,BDI
172,Burkina Faso,0.13374905249117383,BFA
173,Madagascar,0.13355188745567428,MDG
174,Martinique,0.13173699697855432,MTQ
175,Zimbabwe,0.1314410760389312,ZWE
176,Somalia,0.13015928454413278,SOM
177,Bhutan,0.12759150247735568,BTN
178,British Virgin Islands,0.1259600034830058,None
179,Antigua and Barbuda,0.1259600034830058,ATG
180,Brunei,0.11875142067999427,BRN
181,Azerbaijan,0.11678449460893213,AZE
182,Guam,0.1029049539474425,GUM
183,Nicaragua,0.10166837362438541,NIC
184,Bermuda,0.0,BMU
