,Country,betweenness,Total Publications on Coronavirus,Percentile_Rank
10,United States of America,12.166666666666668,2,0.24983079710935965
11,United States of America,23145.108903449545,2,0.24983079710935965
16,United States of America,19174.64007447836,8,0.9445996987096915
18,United States of America,2226.581687846202,2,0.24983079710935965
19,China,590636.3554450597,15,0.9869659192629304
21,Italy,78244.54897430443,3,0.6070126410933782
25,China,343459.832557442,6,0.8972010566993428
26,France,268.58333333333337,2,0.24983079710935965
27,United States of America,11366.0,2,0.24983079710935965
28,United Kingdom,2223.7745864737617,5,0.8496277536405912
32,China,3.0,3,0.6070126410933782
39,United Kingdom,0.8086996336996337,3,0.6070126410933782
49,China,149476.35288943924,3,0.6070126410933782
50,United States of America,151788.17092286047,2,0.24983079710935965
53,United States of America,7072.186979559709,7,0.9261292928410803
56,Italy,248.1038625029325,2,0.24983079710935965
57,United States of America,7988.430723189165,2,0.24983079710935965
60,United States of America,163079.40105841248,6,0.8972010566993428
71,Italy,5157.740387984339,4,0.7671113245857258
73,United States of America,10329.162739570638,2,0.24983079710935965
78,United States of America,83606.87415460014,2,0.24983079710935965
80,United States of America,72575.77931148207,10,0.9663122502892824
85,United States of America,17882.53068072888,4,0.7671113245857258
87,China,1006.762071831773,6,0.8972010566993428
88,China,37242.81663019043,4,0.7671113245857258
92,Italy,121552.91201167749,9,0.9572517084033797
93,China,255885.85066240127,3,0.6070126410933782
104,United States of America,71825.50071363573,3,0.6070126410933782
118,United Kingdom,140.0,3,0.6070126410933782
121,China,47378.52223309629,4,0.7671113245857258
123,China,28100.92857142857,3,0.6070126410933782
142,Canada,11795.571428571428,2,0.24983079710935965
144,United States of America,1306.906466138218,3,0.6070126410933782
145,Italy,1168.461803268978,3,0.6070126410933782
147,United States of America,24095.25799981132,2,0.24983079710935965
153,United States of America,64154.26866504112,11,0.9726982948715149
154,China,235150.32605802928,5,0.8496277536405912
169,France,297.6582978041993,3,0.6070126410933782
171,Italy,114211.18482093788,3,0.6070126410933782
174,China,11572.859210509914,3,0.6070126410933782
177,Germany,345995.3269602725,3,0.6070126410933782
178,China,19298.9324037746,4,0.7671113245857258
184,Switzerland,718.4022830715046,2,0.24983079710935965
188,Italy,8132.255157171119,5,0.8496277536405912
190,China,12713.833333333332,15,0.9869659192629304
191,Italy,150470.5370928828,24,0.9954260637949479
197,United States of America,1.0,2,0.24983079710935965
200,United Kingdom,127.5003323488551,2,0.24983079710935965
201,China,4.0,3,0.6070126410933782
217,Germany,906580.9258980803,11,0.9726982948715149
222,United States of America,224193.0777535504,8,0.9445996987096915
233,United Kingdom,0.9119453044375644,2,0.24983079710935965
236,United States of America,3.0,2,0.24983079710935965
241,France,108814.55187142442,3,0.6070126410933782
242,United States of America,30.0,2,0.24983079710935965
244,United States of America,21089.55298633221,4,0.7671113245857258
245,China,4.5,2,0.24983079710935965
246,United States of America,10601.83069815844,6,0.8972010566993428
247,Germany,134724.35945763998,5,0.8496277536405912
249,United States of America,57624.20997296678,2,0.24983079710935965
264,Italy,182967.95580101825,3,0.6070126410933782
271,Germany,756.1848484848487,4,0.7671113245857258
273,China,6288.0,3,0.6070126410933782
275,United States of America,20811.0,3,0.6070126410933782
285,China,1676.9999999999998,3,0.6070126410933782
287,Canada,190.9578031767853,4,0.7671113245857258
288,Italy,7491.968535496475,2,0.24983079710935965
290,Switzerland,59966.4391020725,15,0.9869659192629304
300,Canada,29.0,2,0.24983079710935965
302,China,31895.89083952904,3,0.6070126410933782
304,China,29560.77566360852,2,0.24983079710935965
306,United States of America,3.144837432361094,2,0.24983079710935965
307,United States of America,23706.0,2,0.24983079710935965
308,United States of America,2.0,2,0.24983079710935965
311,United States of America,271597.6057559887,2,0.24983079710935965
316,United Kingdom,19787.494453261075,5,0.8496277536405912
320,China,176890.0,7,0.9261292928410803
328,China,51.12619047619047,3,0.6070126410933782
338,United States of America,8471.953488152752,4,0.7671113245857258
339,China,35644.0,2,0.24983079710935965
340,United Kingdom,12474.245379565413,4,0.7671113245857258
344,China,520503.2040741169,3,0.6070126410933782
345,China,54254.97847247715,3,0.6070126410933782
347,China,65226.540361339925,2,0.24983079710935965
349,Italy,21.0,3,0.6070126410933782
351,Italy,5944492.628536635,19,0.9924786586031482
352,China,24.73571428571428,3,0.6070126410933782
360,Italy,58.5,2,0.24983079710935965
367,China,9.702380952380953,2,0.24983079710935965
374,Italy,2.9,2,0.24983079710935965
375,China,50.51428571428571,2,0.24983079710935965
376,United States of America,744.7840369732262,2,0.24983079710935965
379,Italy,102922.88152668868,3,0.6070126410933782
383,Germany,335.5,3,0.6070126410933782
391,United States of America,24262.33976610917,2,0.24983079710935965
392,China,4664.981665291384,3,0.6070126410933782
403,United States of America,18238.667380577168,2,0.24983079710935965
404,Canada,32223.515776772503,4,0.7671113245857258
405,Italy,2312.0108536273387,2,0.24983079710935965
407,United States of America,100066.10192117628,5,0.8496277536405912
409,United States of America,895714.4510762544,15,0.9869659192629304
411,Germany,290188.6454026979,8,0.9445996987096915
413,China,12982.059996288848,4,0.7671113245857258
416,United States of America,3655.879605879276,2,0.24983079710935965
418,United Kingdom,11866.69225131914,10,0.9663122502892824
427,Switzerland,17152.74737510306,2,0.24983079710935965
428,France,8089.433833598835,2,0.24983079710935965
430,Italy,78668.87127980389,4,0.7671113245857258
437,United Kingdom,9.0,2,0.24983079710935965
438,France,480500.8838090178,8,0.9445996987096915
446,United States of America,9569.632749577548,3,0.6070126410933782
462,United States of America,14633.542187649631,5,0.8496277536405912
469,Italy,155017.7613119483,15,0.9869659192629304
470,United States of America,1735586.1378620332,10,0.9663122502892824
471,Italy,5006.484839963972,2,0.24983079710935965
474,United Kingdom,290901.2558622945,5,0.8496277536405912
475,Italy,61544.29952490929,3,0.6070126410933782
476,China,158901.16302419067,4,0.7671113245857258
498,United States of America,0.1034482758620689,2,0.24983079710935965
500,Germany,1765.833333333333,3,0.6070126410933782
507,Italy,132.54589093654712,2,0.24983079710935965
508,Italy,21438.84350993737,4,0.7671113245857258
509,China,540.0,3,0.6070126410933782
510,United States of America,69526.81619390658,4,0.7671113245857258
511,China,22542.35372357111,2,0.24983079710935965
516,Italy,4623.75,3,0.6070126410933782
523,Italy,30881.618014915857,2,0.24983079710935965
530,United States of America,60429.76911308104,4,0.7671113245857258
542,China,1262125.757162701,38,0.9980241468899417
552,United States of America,1.4452380952380954,2,0.24983079710935965
555,China,55598.84408559404,2,0.24983079710935965
556,United States of America,776.4215725810824,2,0.24983079710935965
559,United States of America,1365.0,3,0.6070126410933782
570,United States of America,126618.03080476908,14,0.9845752461629151
576,United States of America,8.0,2,0.24983079710935965
584,China,1788.0,3,0.6070126410933782
591,China,294997.4607255911,2,0.24983079710935965
598,China,89302.61198701357,4,0.7671113245857258
604,China,3028.036372054061,2,0.24983079710935965
606,China,2181.9981365630847,9,0.9572517084033797
618,United Kingdom,22.416666666666664,2,0.24983079710935965
622,United States of America,126.0,2,0.24983079710935965
629,United States of America,51420.6262920337,2,0.24983079710935965
632,United States of America,1024.5534798534802,3,0.6070126410933782
639,United Kingdom,13476.937953260263,6,0.8972010566993428
647,United Kingdom,1.0,2,0.24983079710935965
650,China,413863.1483515934,25,0.9956771390520271
657,China,208695.8570799925,6,0.8972010566993428
658,China,2305.572536510109,4,0.7671113245857258
661,China,50.0,2,0.24983079710935965
664,France,117808.63208183256,8,0.9445996987096915
665,United States of America,62992.217353769054,3,0.6070126410933782
669,China,63.0,3,0.6070126410933782
686,Italy,81413.84690643019,7,0.9261292928410803
687,United States of America,3.2,4,0.7671113245857258
688,France,6882.48975920828,5,0.8496277536405912
690,China,55795.16259432203,4,0.7671113245857258
692,United States of America,99.91666666666666,5,0.8496277536405912
696,United States of America,6.0,4,0.7671113245857258
697,United Kingdom,489010.41230559774,3,0.6070126410933782
698,United States of America,18615.58460024656,12,0.9775997205423226
699,United States of America,5151.416666666666,3,0.6070126410933782
702,China,4.0,3,0.6070126410933782
712,United Kingdom,23897.87956438984,4,0.7671113245857258
717,United States of America,361.9333333333333,4,0.7671113245857258
718,Italy,178562.94384051237,12,0.9775997205423226
720,United States of America,10173.667925903974,3,0.6070126410933782
721,China,695717.198275532,12,0.9775997205423226
722,Italy,7820.970221069522,4,0.7671113245857258
724,Italy,163736.50095313642,14,0.9845752461629151
726,China,18845.28062477683,4,0.7671113245857258
728,Italy,1168246.3854086746,15,0.9869659192629304
729,France,73542.43473849181,9,0.9572517084033797
731,China,183470.0357257136,4,0.7671113245857258
732,United Kingdom,1078271.0929623076,22,0.9946291727616094
749,China,48.0,2,0.24983079710935965
752,Italy,69656.52955401133,3,0.6070126410933782
755,China,1639.112626262626,2,0.24983079710935965
757,Italy,752.3118386639854,2,0.24983079710935965
758,United States of America,3.0,4,0.7671113245857258
760,China,163430.8527758229,7,0.9261292928410803
762,Italy,29498.09804159506,9,0.9572517084033797
763,Germany,56723.13977587502,4,0.7671113245857258
764,United States of America,138590.90130307915,10,0.9663122502892824
776,China,756.0000000000001,6,0.8972010566993428
780,China,339279.0999354092,5,0.8496277536405912
782,Italy,51380.75808682094,5,0.8496277536405912
783,Germany,22360.407879735216,5,0.8496277536405912
784,China,21.0,3,0.6070126410933782
785,United States of America,1052.0506995864816,2,0.24983079710935965
786,France,113974.58112913826,5,0.8496277536405912
788,China,312762.0779599884,10,0.9663122502892824
791,United Kingdom,11.720887445887444,2,0.24983079710935965
792,United States of America,2980.281573475648,3,0.6070126410933782
795,United States of America,4928.619047619048,11,0.9726982948715149
797,Italy,4809.907295414043,4,0.7671113245857258
806,United States of America,8271.561490510672,2,0.24983079710935965
815,Switzerland,101464.73526091385,3,0.6070126410933782
819,Italy,2.1666666666666665,4,0.7671113245857258
820,Germany,185634.0756010444,3,0.6070126410933782
823,Italy,48.75,2,0.24983079710935965
826,United States of America,462.58882979278593,5,0.8496277536405912
836,France,2288.0,2,0.24983079710935965
839,United States of America,9341.860615737914,2,0.24983079710935965
840,United Kingdom,3380.0,2,0.24983079710935965
846,United Kingdom,4187.641485252921,2,0.24983079710935965
847,Italy,32.0,4,0.7671113245857258
852,China,47478.00000000001,2,0.24983079710935965
855,China,12446.702922077926,3,0.6070126410933782
856,United Kingdom,45561.93973031566,32,0.9972163395410781
871,United States of America,36937.4974553305,5,0.8496277536405912
877,United Kingdom,6.0,2,0.24983079710935965
879,Canada,261583.9379946851,6,0.8972010566993428
880,United States of America,576.0,2,0.24983079710935965
881,United States of America,4282.181206040126,4,0.7671113245857258
882,France,2658.719734866709,4,0.7671113245857258
888,United States of America,15346.865995946417,2,0.24983079710935965
889,Italy,6.0,2,0.24983079710935965
891,Italy,20784.85723197092,4,0.7671113245857258
892,United States of America,78072.52865441373,7,0.9261292928410803
900,United States of America,2934.3026922983872,2,0.24983079710935965
906,United States of America,20234.238597604497,5,0.8496277536405912
909,Italy,14736.291632057437,3,0.6070126410933782
911,France,136948.78546869132,6,0.8972010566993428
913,United States of America,9.0,3,0.6070126410933782
916,China,110.0,2,0.24983079710935965
917,Italy,11588.194121656696,2,0.24983079710935965
934,United States of America,1215.0,4,0.7671113245857258
942,Italy,1950.3609967325808,3,0.6070126410933782
943,United Kingdom,359772.8926207744,5,0.8496277536405912
944,Germany,135290.44317164388,14,0.9845752461629151
946,China,514.9402494504493,3,0.6070126410933782
947,United States of America,23404.0,2,0.24983079710935965
948,Canada,421378.07515823416,4,0.7671113245857258
950,China,198940.87463164527,6,0.8972010566993428
972,United Kingdom,93813.55191597328,3,0.6070126410933782
977,China,67670.77602171131,2,0.24983079710935965
978,China,4.5,2,0.24983079710935965
980,China,24233.07425444108,5,0.8496277536405912
982,France,501.4119047619047,4,0.7671113245857258
984,China,389484.9756641166,9,0.9572517084033797
986,Italy,123744.1046330954,11,0.9726982948715149
987,Italy,0.5,6,0.8972010566993428
988,United States of America,72569.56521757653,7,0.9261292928410803
995,United Kingdom,27.2,2,0.24983079710935965
1003,Italy,1710.0,4,0.7671113245857258
1007,China,74077.42333898964,2,0.24983079710935965
1008,China,172556.4504529848,3,0.6070126410933782
1010,China,10015.339499161844,2,0.24983079710935965
1012,China,29332.000000000004,9,0.9572517084033797
1014,United States of America,251339.1331668812,14,0.9845752461629151
1017,China,145.16666666666669,3,0.6070126410933782
1020,United States of America,15002.59144597778,14,0.9845752461629151
1032,China,33.0,2,0.24983079710935965
1033,China,56.0,2,0.24983079710935965
1035,Italy,14904.189137575806,3,0.6070126410933782
1044,China,17461.494842489297,2,0.24983079710935965
1045,China,34267.66448019338,12,0.9775997205423226
1046,China,6.0,2,0.24983079710935965
1048,Italy,5970.326747247129,3,0.6070126410933782
1049,United States of America,2691.6000000000004,2,0.24983079710935965
1051,Italy,818.9346959632181,3,0.6070126410933782
1053,France,24.0,2,0.24983079710935965
1054,United States of America,16011.42023013757,7,0.9261292928410803
1056,China,61784.21748771585,3,0.6070126410933782
1060,China,10.833333333333332,2,0.24983079710935965
