,index,Author ID,Full Name,Country,betweenness
0,251530,88660434,"Drosten, Christian",Germany,15085484.960602442
1,292112,88655346,"Jerome, Keith",United States,13404011.990374856
2,297539,88658830,"Grasselli, Giacomo",Italy,12148698.880522782
3,283175,88680404,"de Wit, Emmie",United States,12051286.571426082
4,281679,88678062,"Carf�, Angelo",Italy,11902416.28595576
5,266305,88667196,"Bettini, Laura",Italy,10708254.054186275
6,232338,88631891,"Song, Tie",China,10218895.09269818
7,280196,88676221,"Koopmans, Marion",Netherlands,10155020.269361485
8,284984,88648469,"Antonelli, Massimo",Italy,9651652.419200124
9,222496,88625458,"Zhao, Jincun",China,9136569.993780123
10,266483,88657966,"Scudeller, Luigia",Italy,9132495.398635663
11,256113,88658997,"Holmes, Edward",Australia,9003157.905333297
12,285275,88676102,"Cauda, Roberto",Italy,8914945.668029644
13,267248,88672630,"My, Ilaria",Italy,8873205.267902253
14,260994,88666156,"Enouf, Vincent",France,8464916.924279528
15,257911,88663765,"Laou�nan, C�dric",France,8392723.719718022
16,249866,88656248,"Ho, Ling-Pei",Ireland,8378999.97451143
17,256513,88619066,"Leo, Yee-Sin",Singapore,8231516.097361854
18,266699,88657963,"Greco, Massimiliano",Italy,8201305.897276559
19,274298,88637049,"Peng, Zhiyong",China,8035261.833103178
